epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,468.135,2.02052,3.37736,1.76141,0.28137,0.2569,0.19406,0.08471,2.11837,3.46946,1.79732,0.00999405,0.00333135,0.00999405,0.00333135,0.00999405,0.00333135,0.00999405,0.00333135
2,885.557,2.0243,2.65691,1.74537,0.3119,0.27222,0.20881,0.08345,2.16483,3.09878,1.82822,0.0195982,0.00653272,0.0195982,0.00653272,0.0195982,0.00653272,0.0195982,0.00653272
3,1307.37,2.10383,2.70643,1.82848,0.27602,0.24481,0.18147,0.06995,2.28477,3.12261,1.96869,0.0288063,0.00960209,0.0288063,0.00960209,0.0288063,0.00960209,0.0288063,0.00960209
4,1732.72,2.07491,2.66007,1.84028,0.32927,0.28399,0.23571,0.09873,2.09701,2.68952,1.82403,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2151.31,1.99708,2.5063,1.78108,0.37787,0.33759,0.29513,0.13244,2.02628,2.61967,1.79514,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2573.4,1.93602,2.38839,1.73387,0.42041,0.36238,0.3325,0.15161,1.9647,2.52345,1.75254,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2994.5,1.91385,2.3207,1.70933,0.42184,0.3799,0.34591,0.16257,1.92865,2.491,1.72128,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3413.07,1.87999,2.26453,1.68681,0.44624,0.41247,0.37478,0.17597,1.91736,2.35628,1.67256,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3841.19,1.85259,2.21244,1.65539,0.50145,0.40561,0.40472,0.19525,1.87865,2.33637,1.66585,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,4259.14,1.83989,2.17385,1.64602,0.47898,0.423,0.41229,0.20168,1.85479,2.25305,1.65012,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,4684.42,1.82293,2.13517,1.63339,0.48494,0.42565,0.41826,0.20415,1.84168,2.2297,1.63271,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,5100.84,1.80579,2.09664,1.61233,0.5123,0.43779,0.43805,0.21697,1.83063,2.15715,1.59465,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,5522.35,1.79158,2.08246,1.60582,0.51782,0.44322,0.44729,0.22345,1.82323,2.10843,1.6021,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
